key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
rayyan-335335934,Late History of Tropical Dry Forests in Colombia: 45 Years of Anthropic Transformation,2021,1,1,,,,,,"González-M. R., Pizano C.",,,,,"Tropical dry forests (TDF) are widely distributed in the Neotropics, where they have been shaped by human settlements for centuries. In Colombia, located at the northern portion of South America, only 8% of TDF remain as forest fragments in three regions: the Caribbean in the North, the Inter Andean Valleys at the center of the country, and the Orinoquia in the East. In this work, we used the human footprint index (HFI) to study how human impacts on TDF have changed during the last five decades (1970-2015), and collected field information to assess if, and how, the impact of human footprint is reflected on forest characteristics. Our results show that human pressure on TDF came before 1970, significantly increased between 1970 and 2015 in the three regions, and change has been greater in the Orinoquia, where dry forests were mostly natural 50 years ago. We also found that this increased human impact has resulted in lower TDF cover, a higher forest fragmentation (smaller and narrower forest fragments), and forests with a higher proportion of secondary vegetation and shorter canopies in the three regions. These human footprint spatio-temporal analyses may inform conservation-based managing to prevent further degradation of the remaining dry forests under future scenarios of continuous economic development. © 2021 Nova Science Publishers, Inc.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia,agriculture context",,
rayyan-335335949,Factors influencing the perception of ecosystem services in Ecuadorian tropical dry forests [Factores que influyen en la percepción de servicios de los ecosistemas de los bosques secos del sur del Ecuador],2016,1,1,,,25,2,,"Briceño J., Iñiguez-Gallardo V., Ravera F.",,,,,"The importance of the ecosystem services provided by dry tropical forest is better understood when analyzing peoples' perceptions of such services. Particularly south ecuadorian dry forests have been scarcely studied from social sciences, though they are the most populated and threathened forests in the world. Therefore, little is known about factors that may influence the perception of ecosystem services provided by such forests. Based on a study case research in the Reserva Ecológica Arenillas and by using a qualitative and quantitative approach, we discuss how the history of the Reserve and factors such as participants' residence, frequency of visits, gender and age play a key role in the social perception and value given to the ecosystem services provided by the protected area. © 2016 Los Autores.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: ecuador",,
rayyan-335335986,Establishing a private protected area in Ecuador: Lessons learned in the management of Cerro Blanco Protected Forest in the city of Guayaquil,2017,1,1,,,1,1,,Horstman E.,,,,,"The Bosque Protector Cerro Blanco (Cerro Blanco Protected Forest) is a 6,078 ha reserve that protects a significant remnant of dry tropical forest in Ecuador. Under Ecuadorian law one of the principal ways to protect private lands is to declare them as protected forests and vegetation. These areas for the most part do not receive funding from the government but their designation does provide some legal support when the inevitable conflicts in land use arise. Cerro Blanco, which was designated a protected forest in 1989 via government decree, is one of the earliest and also most consolidated of the protected forests. With support from the private sector, principally Holcim, which has a cement-producing plant in the forest buffer zone, Fundación Pro Bosque has set up a broad-based management program that includes control and vigilance, dry forest restoration, environmental education and interpretation, scientific investigation, and community development. This article provides a perspective of establishing protected areas in biodiverse areas facing many challenges, including rapid urban expansion, poorly regulated land use, and encroachment. The article includes some lessons learned that may be of use in attempting to establish protected areas in other places with similar challenges. © 2017 by the Regents of the University of California.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: ecuador,protected areas",,
rayyan-335335987,A new park in the Bolivian Gran Chaco - An advance in tropical dry forest conservation and community-based management,1997,1,1,,,31,3,,"Taber A., Navarro G., Arribas M.A.",,,,,"The Kaa-Iya del Gran Chaco National Park and Integrated Management Area was established in September 1995. At 3.44 million hectares it is one of South America's largest protected areas. The tropical dry forest of the Chaco, which this reserve protects, is Bolivia's most threatened major lowland habitat type. With the creation of this reserve the protected-area coverage of the Gran Chaco increased to 4.7 per cent. With at least 69 species of mammals (the Chiroptera have not yet been surveyed), it is one of the richest Neotropical sites for this taxonomic group. The Kaa-Iya park is being administered by the Izoceno-Guarani Indian organization, the Capitania del Alto y Bajo Izozog, and puts community-based conservation into practice. Threats to the park include encroachment by colonists, ranchers and farmers; the Bolivia Brazil gas pipeline; and hunting.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,bolivia",,
rayyan-335335989,Socioeconomic and ecological indicators in willingness to accept compensation for the conservation of medicinal plants in a tropical dry forest,2022,1,1,,,24,3,,"Laurentino M., de Lima Araújo E., Ramos M.A., Cavalcanti M.C.B.T., Gonçalves P.H.S., Albuquerque U.P.",,,,,"The contingent valuation method employs a hypothetical scenario to record a person’s declared preference with regard to their willingness to pay for an environmental asset or willingness to accept (WTA) compensation for not using it. Many studies have evaluated the inclination to conserve watersheds, forest areas, or certain species. In this study, we reported the economical values of medicinal species based on the perceptions of locals living within a protected area in a seasonal dry tropical forest in Northeastern Brazil. Moreover, we assessed the effects of socioeconomic variables (gender, family income, and family size) on the WTA compensation for not using the species. We interviewed 96 household heads from seven communities to obtain their socioeconomic data and WTA values. Additionally, we used data from a plant inventory to gather information on species abundance. We found that the selected socioeconomic variables are a poor predictor of the WTA values. Our findings also demonstrate that women accept lower WTA values to not use some species. Additionally, individuals from bigger families accept lower WTA values to not use just one of the plant species. Species abundance did not influence informants’ WTA values. Generally, informants overestimated bids, which may hinder biodiversity conservation. Socioeconomic and ecological factors may not have an influence on WTA values in communities that inhabit protected areas. © 2021, The Author(s), under exclusive licence to Springer Nature B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil",,
rayyan-335335997,"Participatory analysis of ecosystem services in a protected area of the tropical dry forest (TDF), Colombia [Análisis participativo de servicios ecosistémicos en un área protegida del bosque seco tropical (bs-T), Colombia]",2021,1,1,,,24,1,,"Cárdenas-Camacho L.M., Díaz S., Gómez-Anaya W., Rojas-Rojas J.E., López-Camacho R.",,,,,"The state of degradation faced by tropical dry forest ecosystems, in different geographical scales, prioritizes their conservation. In this study, a participatory and multicriteria analysis of ecosystem services -ESassociated with current coverages in the tropical dry forest life zone in a protected area, was realized. The ES were spatialized on a local scale, to project management guidelines, and were prioritized and characterized through interviews with key stakeholders. For the approach to the ecosystem functioning, indicators of processes and ecosystem structure were established based on information of soils, flora, fauna and drivers of change. It was found that the most important ES are agricultural production and drinking water supply. The ecosystem functioning was low and very low in agricultural systems, low and medium in livestock systems, and high and very high in natural systems. It is recommended to implement sustainable and participatory conservation strategies. © 2021 Universidad Distrital Francisco Jose de Caldas. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia",,
rayyan-335336000,Deforestation trends of tropical dry forests in Central Brazil,2013,1,1,,,45,3,,"Bianchi C.A., Haig S.M.",,,,,"Tropical dry forests are the most threatened forest type in the world yet a paucity of research about them stymies development of appropriate conservation actions. The Paranã River Basin has the most significant dry forest formations in the Cerrado biome of central Brazil and is threatened by intense land conversion to pastures and agriculture. We examined changes in Paranã River Basin deforestation rates and fragmentation across three time intervals that covered 31 yr using Landsat imagery. Our results indicated a 66.3 percent decrease in forest extent between 1977 and 2008, with an annual rate of forest cover change of 3.5 percent. Landscape metrics further indicated severe forest loss and fragmentation, resulting in an increase in the number of fragments and reduction in patch sizes. Forest fragments in flatlands have virtually disappeared and the only significant forest remnants are mostly found over limestone outcrops in the eastern part of the basin. If current patterns persist, we project that these forests will likely disappear within 25 yr. These patterns may be reversed with creation of protected areas and involvement of local people to preserve small fragments that can be managed for restoration. © 2012 The Author(s) Journal compilation © 2012 by The Association for Tropical Biology and Conservation.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: brazil,cerrado",,
rayyan-335336008,"Tropical dry forests in Venezuela: Assessing status, threats and future prospects",2008,1,1,,,35,4,,"Rodríguez J.P., Nassar J.M., Rodríguez-Clark K.M., Zager I., Portillo-Quintero C.A., Carrasquel F., Zambrano S.",,,,,"Tropical dry forests may be among the world's most threatened ecosystems, but few studies have objectively quantified their status and threats. This study analysed Venezuelan dry forests at multiple scales, assessing status, present threats and the policy context shaping their future. Historical and current dry forest cover at both national and local scales were contrasted, and a set of quantitative risk assessment criteria applied. While dry forests were vulnerable nationally, in northern-central locations they were endangered. Clearing for cattle ranching and for intensive and subsistence agriculture were the principal factors driving dry forest loss at the national scale, while at a local level, urbanization and fire seemed to be the primary threats. The analysis emphasized the separation of risk assessment from the very different task of establishing conservation priorities; high risk areas may not necessarily be the highest priority for investment, and policy makers may become explicitly aware of the spatial scale at which their policies are implemented, as well as how these policies may affect or be affected by the status of ecosystems beyond their area of influence. The main challenge to future dry forest conservation is a paucity of explicit policies for management and use. However, scientifically-based management can support positive dry forest policies in many ways, including identifying locations and protocols for ecological restoration, maintaining seed banks, quantifying baseline conditions, and monitoring genetic diversity and other indicators. © 2009 Foundation for Environmental Conservation.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: threats,Venezuela",,
rayyan-335336019,Keeping people in the loop: Socioeconomic valuation of dry forest ecosystem services in the Colombian Caribbean region,2021,1,1,,,188,,,"Pérez-Sánchez D., Montes M., Cardona-Almeida C., Vargas-Marín L.A., Enríquez-Acevedo T., Suarez A.",,,,,"Tropical dry forests (TDF) are one of the most endangered ecosystems in the world, especially in Colombia. One way to promote TDF conservation is by upholding the valuation of the ecosystem services they provide. Therefore, in order to deepen the understanding regarding the conservation of TDF from the perspective of local communities, we sampled two populations for our analysis: the first one consisted of people living inside a TDF protected area, while the second one was made up of urban inhabitants living near the TDF. Through a contingent valuation study, we found that 71% of urban inhabitants were willing to pay 12,119 USD/year to the protected area's inhabitants to implement conservation strategies and also that 100% of the protected area's dwellers were willing to participate of the strategy. Hence, we proposed a payment for ecosystem services scheme. Lastly, we observed that inhabitants’ high participation rates for the proposed strategy related to the high importance given to TDF-provided ecosystem services. © 2021 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: colombia",,
rayyan-335336056,Deforestation and fragmentation of Chaco dry forest in NW Argentina (1972-2007),2009,1,1,,,258,6,,"Gasparri N.I., Grau H.R.",,,,,"The sustained increase in the global food demand has favoured the recent expansion of industrial agriculture into neotropical dry forest ecosystems, with resulting changes in their extent and spatial configuration. Based on Landsat satellite images, we analyzed changes in forest cover and landscape configuration over an area of 600 by 100 km located in NW Argentina (Tucumán and Salta provinces) in four periods between 1972 and 2007. The study area, one of the most active deforestation frontiers of South American dry forest, was divided into six relatively homogeneous sectors in terms of land property structure and biophysical characteristics. During the study period 1.4 millions hectares of dry forest were cleared. Deforestation started in the 1970s as a result of technological changes and increasing rainfall; continued (with spatial and temporal fluctuations) during the 1980s and 1990s in association to the sustained global demand of soybean, and was accelerated (to ca. 100,000 ha year-1) between 2001 and 2007 following the global increase in commodity prices, and the national peso devaluation. We described the landscape structure using eight landscape indices, summarized as one synthesis value: the Euclidian distance across the seven dimensions from a theoretical non-fragmented situation. In areas with soil limitations deforestation resulted in relatively stable, highly fragmented landscapes. In contrast, the sites with regional coarser-scale limitations (rainfall), deforestation produced a less fragmented landscape where agriculture concentrates in sites with high rainfall. Sites with no limitations for agriculture tend to a largely deforested landscape with few small and poorly connected forest patches. The land properties size seems to influence some indices of fragmentation, but the synthetic index of fragmentation suggests an overall convergence of fragmentation patterns towards a similar configuration across different biophysical and land tenure conditions. © 2009 Elsevier B.V. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,
