country,,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id,country
,103,rayyan-339919063,Making tropical agriculture more Sustainable by using bioeconomic models,2007,1,1,,,,,,"Barbier B., Deybe D., Alary V., Carpentier C.L.",,,,,"Small farmers from the tropics are struggling to sustain their livelihoods while the world's natural and policy environment is changing. Trade liberalization affects many of these farmers differently- often negatively when subsidies and protections are removed, sometimes under the direction of ""structural adjustment"" programs of, for example, the IMF or the World Bank; in some cases positively when previous policies were biased against agriculture and when a freer access to market expands opportunities. Looking beyond short-term profits, the question of whether the new policies induce more sustainable production systems is still quite ambiguous. Small farmers are also struggling to adopt new technologies. There seemingly is a large variety of technologies available, but adoption is still low among small farmers from tropical countries. What type of policies and what type of technologies can help improve productivity of poor farmers while maintaining the resource base? To what degree do these new technologies make small farmers beholden to debt, the industrialized countries, and the probable future increases in the price of petroleum and its products? To answer these questions, one has to study farming systems in some detail and make some predictions about how these systems will respond, change, and adapt to external incentives while population is increasing rapidly even as natural resources are under increasing pressure. Teams of economists and agriculturalists join their expertise to link farming system analysis and natural resources processes with human behavioral models to simulate the dynamics of the farming systems under various scenarios. In this chapter we present a few applications of these bioeconomic models to address the impacts of increasing population pressure, increasing access to markets, and external incentives related to welfare and natural resources management. What are the relations between these factors and environmental degradation? What are the policy and technical options to make these systems more sustainable? In the first part of the chapter, we present the tropical agroecosystems that we studied. In the second, we review the use of bioeconomic models in agriculture. In the third we describe a few applications, and in the last part we present overall results and conclusions. The Tropical Agroecosystems Studied Tropical small-scale farming systems are numerous and diverse but can be categorized according to a gradient of management intensity from slash-andburn to permanent agriculture (Ruthenberg 1980). In this chapter we analyze and compare the fallow systems from the savanna of West Africa, the forest systems of the hillsides of Central America, the rancher system of the humid forest margin of Amazonia in Brazil, and the permanent intensive systems of the subhumid Gangetic Plain of northern India as representative of this gradient of intensification. In West Africa, increasing population pressure on land should lead, at least according to the Boserup school of thought, to labor and capital intensification and to the adoption of new technologies (Boserup 1965; see chapter 12). Instead, we observe migrations either to less-populated rural areas or to overcrowded cities. Trade liberalization of the mid-1990s was supposed to free farmers from an ""inefficient"" state, but while the devaluation of an overvalued currency had a positive impact, privatization led to market failures and too often the destruction of these farmers' way of subsistence. The three African villages studied, located on a north-south transect representing a gradient of increasing rainfall, are typical of their climatic conditions. The Sahelian village of Banizoumbou in Niger (ILRI dataset 1998) was used to predict the future of transhumance in the Sahel (Barbier and Hazell 2000). Increasing population pressure and expansion of cropland makes the traditional transhumance migrations of cattle and sheep from north to south more difficult every year. While most ""experts"" believe that nomadism has no future, a recent school of thought argues that it is the most suitable human activity for the Sahelian ecosystem (Scoones 1996). The other semiarid village, Kolbila on the Mossi Plateau of Burkina Faso (ICRISAT dataset), is less arid but is located in a much more densely populated region. Agriculture is the main activity, but its sustainability is at risk because of declining biomass and soil fertility. The village of Bala, located in the cotton-producing area of Burkina Faso (CIRAD dataset), is in a more humid region. It is less populated at present, but immigration from the north is increasing population pressure, which induces a shift from slash-andburn to a more intensive but not yet sustainable system (Barbier and BenoÎt-Cattin 1997). In Central America, we analyzed the situation of the communities on the hillsides of Honduras. In addition to being the second-poorest country of the American continent after Haiti, Honduras was hit by a hurricane in 1999, which destroyed a large part of its infrastructure and showed as well how poor management of its upper watersheds has made its valleys vulnerable to floods and landslides. Most of the fertile lowland valleys are used for extensive large-scale ranching, while small farmers struggle on the steep hillsides where the topsoil is eroding rapidly. The five Honduran watersheds where we applied bioeconomic models represent contrasting pathways of development. Farmers in the Lalima watershed follow a vegetable production pathway, producing principally a large range of vegetables. Overdrafting of the river by irrigation reduces water availability during the dry season (Barbier and Bergeron 1999). The San Nicolas watershed has become an intensive coffee production and processing area, which generates extremely high levels of water contamination that in turn affect many downstream communities (Barbier et al. 2003). The Río Calán watershed produces vegetables and coffee and supplies water to the downstream city of Siguatapeque and to a large hydroelectric dam (Jimenez et al. 2000). In the Jalapa watershed, farmers produce on steep slopes prone to rapid erosion and are part of the El Cajón watershed, which drains into a dam that generates 60 percent of the electricity used in Honduras (Hernández 2002:642). In the Choluteca watershed, widespread grain production on slopes threatens the sustainability of the shrimp industry downstream in the mangroves of the Golfo de Fonseca (Hernández et al. 2002). The large charge of sediment in the water makes shrimp production much more expensive (Samayoa 2000:647). In these watersheds, the ""pathway of development"" type applied by the population has been explained as principally a function of exogenous factors such as agroclimatic conditions, availability of spring water, and access to markets (Pender et al. 1999). The two watersheds that were well connected to markets have progressively expanded their vegetable production. Those located farther from a good paved road or major city have focused on coffee where rainfall is generous and on basic grain if the climate is drier. In Brazil, the Amazonian forest continues to shrink progressively under pressure from loggers followed by small farmers and finally ranchers. In some areas the Brazilian government is trying to prevent farmers from clearing more forest by allocating plots of a few dozen hectares of forest margin to families, under the condition that they will stay within these boundaries and clear only half of their holdings. One such settlement project takes place on the western southern border of the Amazonian forest (IFPRI dataset) in the regionsof Rondonia. The objective of the study was to identify the second-best alternative to slash-andburn (Carpentier et al. 1999). Is it coffee, timber production, forest products extraction, food crop, cattle ranching, or carbon sequestration? The model was supposed to verify if the new systems are economical and environmentally sustainable. The Indian study is set in Haryana state in northern India, one of the most productive states of India, and also one of the most populated. In the 1960s and 1970s the green revolution, based on improved germ plasm, chemical fertilizers, and irrigation, transformed the state into a massive producer of rice and wheat. The adoption of new techniques was helped by heavy governmental subsidies to reduce input price and stabilize output prices especially for wheat and rice (Aggarwal et al. 2000; Dorin and Landy 2002). Now that the Indian government is trying to cut subsidies to the agricultural sector, some fear that Haryana's grain production will stagnate. Now that the government wants to reduce subsidies for water and electricity, one has to assess the likely impact on production, poverty, and the environment (Alary 2002:645). Overall, the comparative study given in this chapter includes nine farming systems in four ecoregions of five countries (tables 31.1-31.3). All except the Indian example are small-scale, semicommercialized farming systems integrating crop and livestock, using mainly hand tools with little mechanization and irrigation. They are all increasingly integrated to the market, but population pressures and resource degradation are at play. © 2007 by the University of New Mexico Press. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: socioeconomic",,,
,35,rayyan-335336873,"Tourists' preferences for congestion, residents' welfare and the ecosystems in a national park",2015,1,1,,,118.0,,,"León C.J., de León J., Araña J.E., González M.M.",,,,,"The management of national parks and natural areas often faces a balance between the residents' welfare, the tourist activity and the pressure on ecosystems. This paper assesses the benefits for a set of policies designed to address tourist congestion, the increase in the welfare of the local populations, and the improvements in the ecosystem services (coral reefs, mangroves, dry forests, and coastal and sandy ecosystems). We utilize a discrete choice experiment approach with the consideration of potential heterogeneity. Results show that there are three segments of visitors with different preferences for the proposed policies. Those tourists with higher values for the environmental policies and welfare of the local communities also share a preference for a lower level of congestion at the natural areas. The results have implications for managing natural areas at tourist destinations. © 2015 Elsevier B.V..","RAYYAN-INCLUSION: {""Jamie""=>""Included""}",,,
,43,rayyan-335337016,"Pemon perspectives of fire management in Canaima National Park, Southeastern Venezuela",2007,1,1,,,35.0,3.0,,Rodríguez I.,,,,,"Recent research on the ecology of fire has challenged the view that the use of fire by indigenous peoples is detrimental to ecosystems and wildlife in protected areas. However, in Canaima National Park and World Heritage Site in southeastern Venezuela, since 1981 managers have employed a costly fire control program to eliminate savanna burning by the Pemon indigenous people. Here I present the results of the first study on Pemon perspectives of fire management in the park. I show that savanna burning is an important tool in indigenous land management and plays a key role in preventing large catastrophic fires. Pemon knowledge of fire also raises questions about conventional interpretations of environmental change in the park. Lastly, I recommend a fire management policy that seeks to integrate local ecological knowledge. This will require: (a) greater openness from scientists and resource managers to understanding Pemon rationale for the use of fire, (b) clarification among the Pemon themselves of their own views of fire, and (c) research partnerships among scientists, resource managers and the Pemon in order to encourage understanding of Pemon ecological knowledge of fire, and to assess its true impact in the Canaima National Park. © Springer Science+Business Media, LLC 2006.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: Venezuela,indigenous,actor focus,burning context",,,
,58,rayyan-335337596,"Exploring the links between natural resource use and biophysical status in the waterways of the North Rupununi, Guyana",2004,1,1,,,72.0,3.0,,"Mistry J., Simpson M., Berardi A., Sandy Y.",,,,,"The North Rupununi District in south-west Guyana is comprised of a mosaic of ecosystems, including savannas, wetlands and forests, and is home to the Makushi Amerindians, who depend on the waterways for their subsistence needs. With logging and mining seen as increasing threats to the region, it is necessary to look at methods for engaging stakeholders in monitoring the status of their natural resources. This paper presents the results of a pilot study carried out to investigate water use by the Makushi Amerindians, and collect baseline data on the hydro-morphological aspects of the waterways. Methods included informal interviews, the use of the River Habitat Survey (RHS), and water quality measurements. The results indicate the heavy reliance of the Makushi on the waterways for their daily lives, particularly on fishing. Although ponds and creeks are important sources of fish, the rivers provide much larger catches of a greater diversity of fish species, both in the wet and dry seasons. The physical characteristics of the water sources used by the Makushi are mainly associated with the surrounding habitat types: The savanna areas containing the more nutrient rich white-water rivers, and the tropical forest areas containing the less nutrient rich black-water rivers. This study indicates that at present there is no direct evidence of adverse impacts on the waterways used by the Makushi in terms of fish catches, habitat conditions and water quality. A monitoring scheme was set up using this study's outputs as a baseline from which any future changes can be compared. Further work is to be carried out over the next three years to produce monitoring and sustainable management procedures for the North Rupununi ecosystems, by linking the physical attributes of the environment to biodiversity and subsequently local livelihoods, and by building capacity of local stakeholders through training. © 2004 Elsevier Ltd. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: guyana",,,
,73,rayyan-339918911,The Emerging Soybean Production Frontier in Southern Africa: Conservation Challenges and the Role of South-South Telecouplings,2016,1,1,,,9.0,1.0,,"Gasparri N.I., Kuemmerle T., Meyfroidt P., le Polain de Waroux Y., Kreft H.",,,,,"Soybean expansion has been a strong driver of deforestation and biodiversity loss in South America (SAM). Here, we highlight strong similarities in environmental, institutional, and other contextual conditions among SAM and Southern African (SAFR) dry forest and savanna regions, and compile evidence for an emerging soybean production frontier in SAFR. Knowledge transfer, cooperation, and direct investment between SAM and SAFR countries constitute crucial elements of soybean expansion in Africa. Comparing maps of soybean suitability, biodiversity, and carbon revealed substantial and spatially diverse trade-offs, suggesting that the emerging soybean frontier in SAFR may poses major challenges for conservation. An increased focus of conservation science on agricultural expansion and intensification in SAFR, as well as strong environmental policies for balancing agricultural production and conservation goals, are needed to mitigate potentially large trade-offs. The coupling of production frontiers should be a vehicle for the transfer not only of agricultural technology and production models, but also of experiences in environmental governance on emerging agricultural frontiers. © 2016 Wiley Periodicals, Inc.","RAYYAN-INCLUSION: {""Jamie""=>""Included""}",,,
,108,rayyan-339919129,Managing the tropical agriculture revolution,2008,1,1,,,27.0,1.0,,"Nepstad D.C., Stickler C.M.",,,,,"Industrial production of beef, soybeans, cotton, and biofuels is expanding into the tropical latitudes of South America and may soon reach tropical Africa in the most important agricultural transition since the Green Revolution. This shift is driven by the shortage of land suitable for expansion of cultivation and grazing in the temperate zone, increased global demands for agricultural commodities, the rising price of petroleum, and technological advances. At risk are some of the world's most ecologically and culturally-rich landscapes in the world, such as the Amazon rainforest, the Cerrado woodland complex, and African savannas. A strategy for reducing the negative ecological and social impacts of this transition could harness the rising environmental and social standards imposed by many importers and purchasers of agricultural commodities, similar reforms underway among ""Equator"" banks, growing corporate governance, and Brazil's prominence in international diplomacy. Integrated certification of commodity sanitation, compliance with rigorous environmental standards, and sound labor practices could become the norm for participation in commodity markets. These reforms in agro-industrial behavior could be reinforced by trade agreements and strategic support from non-governmental organizations. © 2008 by The Haworth Press. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included""}",,,
argentina,79,rayyan-339918941,Drivers of agricultural land-use change in the Argentine Pampas and Chaco regions,2018,1,1,,,91.0,,,"Piquer-Rodríguez M., Butsic V., Gärtner P., Macchi L., Baumann M., Gavier Pizarro G., Volante J.N., Gasparri I.N., Kuemmerle T.",,,,,"Agricultural expansion and intensification in South America's dry forests and grasslands increase agricultural production, but also result in major environmental trade-offs. The Pampas and Chaco regions of Argentina have been global hotspots of agricultural land-use change since the 2000s, yet our understanding of what drives the spatial patterns of these land-use changes remains partial. We parameterized a net returns model of agricultural land-use change to estimate the probability of agricultural expansion (conversions of woodlands to either cropland or grazing land) and agricultural intensification (conversion of grazing land to cropland) at the 1-km scale for the years 2000 and 2010. Uniquely, our model allowed us to quantify the importance of underlying causes (i.e., changes in agricultural profit) and spatial determinants (i.e., soil fertility, distance to markets, etc.), for Argentina's prime agricultural regions as a whole. We found that cropland and grazing land expansion into woodlands was much less sensitive to changes in profit-related factors than agricultural intensification. Profit-related variables, were a particularly strong cause of intensification in the Pampas, where cropland profits rose by 29% (compared to 18% in the Chaco). This suggests that further conversions of grazing land to cropland in the Pampas and Chaco is likely as long as agricultural demand, and thus returns to agriculture, continue to be high. The moderate impact of profit-related factors on affecting woodland conversion rates also suggests a limited potential of economic policies that affect marginal profits (e.g., taxes or subsidies) to alter deforestation rates and patterns in major ways. Policies that target socio-economic variables not included in our profit-focused framework (e.g., capital availability), area-based interventions (e.g., land zoning), or less-profit oriented actors (e.g., via community-based management) might be more effective in addressing deforestation rates in the Chaco. © 2018 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,pampas,argentina",,,argentina
argentina,21,rayyan-335336353,"A multi-criteria assessment for native forest policy analysis: the case of Caldén forest in the province of Córdoba, Argentina",2021,1,1,,,23.0,4.0,,"Tello D.S., de Prada J.D., Cristeche E.R.",,,,,"The objective of this work is to develop a discrete multi-criteria model to evaluate different conservation policies for Caldén dry forest in the South of the Province of Córdoba, Argentina. The application of the PROMETHEE multi-criteria method integrates a private cost–benefit analysis that describes the policy effects on farms and a contingent valuation study that describes the valuation of forest ecosystem services by the urban population of that region. The impact of five policy alternatives considering seven sustainability criteria was simulated. Criteria weighting was applied taking into account the preferences of theoretical decision-maker profiles and workshop participants. Our study finds that the most preferred alternatives are extension programs with and without prohibition of deforestation. The multi-criteria decision analysis shows an almost generalized coincidence, both in the simulation of theoretical weightings and in the workshop: The reforestation program with prohibition of deforestation is the best performance alternative, while deregulation is the alternative with the worst performance. Only when considering a free-market profile, deregulation has the best performance. It is concluded that multi-criteria methods facilitate the decision-making process, assessing policy alternatives by means of a wide range of criteria and by enabling different actors to express their preferences. Consequently, it constitutes a useful tool to support public decision making, particularly for policies related to the conservation of dry forests at local and global scales. © 2020, Springer Nature B.V.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: caldenal,argentina",,,argentina
argentina,89,rayyan-339918983,Jevons paradox and the loss of natural habitat in the Argentinean Chaco: The impact of the indigenous communities’ land titling and the Forest Law in the province of Salta,2017,1,1,,,69.0,,,"Ceddia M.G., Zepharovich E.",,,,,"The Chaco Salteño in Argentina is part of the Dry Chaco ecoregion, the largest neotropical dry forest in the world, and represents an important hotspot for deforestation and natural habitat loss due to agricultural expansion. The purpose of this article is: i) to assess systematically the role of agricultural expansion, intensification and demographics on the loss of natural habitat and ii) to understand how institutional factors contribute to direct the impact of agricultural intensification towards land sparing or Jevons paradox. We use multivariate statistical methods to assess the effect of important institutional changes, including the promulgation of the Forest Law in the Province of Salta and the titling of communal lands to Indigenous Peoples (IPs), on the loss of natural forests, shrublands and grasslands in the Chaco Salteño. Our results show that the approval of the Forest Law in Salta has been ineffective at slowing down the loss of natural habitat and is associated with the emergence of Jevons paradox via the increase in agricultural productivity. Moreover, this new institutional context appears to have increased the pressures on IPs land and encouraged preventive clearing on these lands. Finally, we detect the decreasing importance of livestock heads as drivers of natural habitat loss. © 2017 Elsevier Ltd","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,,argentina
argentina,17,rayyan-335336242,"Charcoal production in the Argentine Dry Chaco: Where, how and who?",2015,1,1,,,27.0,,,"Rueda C.V., Baldi G., Gasparri I., Jobbágy E.G.",,,,,"Charcoal production has been widespread in the past and is still common where poor societies and dry forests coexist. For the Dry Chaco in South America, one of the largest remaining dry forests of the world, we describe the geographical distribution, type of production systems, environmental and social context and output of charcoal based on remote sensing (charcoal kiln detection); together with existing environmental (forest cover/biomass), social (population density, poverty), and infrastructure (roads) data. While most of the region has low kiln densities (&lt;1 kiln every 1000km2), foci of higher production were found in the north of Santiago del Estero and the west of Chaco provinces (&gt;1 kiln every 5km2). Individual or small groups (up to three units) prevail over the regions (58.2% of all kiln sites), frequently associated with a forest land cover. Large groups of kilns (≥12 units, 15.5% of all kilns) were associated with land cleared for cultivation. For a subset of kiln sites for which forest biomass data was available, we found that typical kiln sites (1-3 kilns) had half of the average biomass of the region within a radius of 125m. Although charcoal production in the whole region has been stable for 50years, a strong redistribution from richer to poorer provinces has taken place. At the county level, kiln density and charcoal production records showed a linear association that suggests an average output of 11 tons of charcoal per year per kiln. Comparing counties with high vs. low charcoal production with similarly high forest cover, the first had higher population density and poverty levels. Today small scale charcoal production by poor rural people represents the only significant use of forests products that provides some market incentive for their preservation. However this situation is associated with marginal social conditions, inefficient production, and forest degradation. Developing charcoal production under environmentally and socially virtuous conditions should be seen as a unique opportunity and an urgent challenge in the face of the fast deforestation of dry forests. © 2015 International Energy Initiative.","RAYYAN-INCLUSION: {""Jamie""=>""Included""} | RAYYAN-LABELS: chaco,argentina",,,argentina
